영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,"서울특별시 강서구 양천로 476, 금부빌딩 (등촌동)",(주)이마트에브리데이 가양역점,구분없음,186966.0362,451047.2873,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 까치산로 106 (화곡동),홈플러스익스프레스 화곡2점,구분없음,186614.4313,449481.2536,생활/편의,슈퍼마켓
영업/정상,서울특별시 구로구 구로중앙로 152 (구로동),이랜드리테일 NC구로점,복합쇼핑몰,189570.3609,444336.0513,생활/편의,복합쇼핑몰
영업/정상,서울특별시 강서구 마곡중앙로 143 (마곡동),LEWEST A관,그 밖의 대규모점포,184522.9078,451531.9245,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강서구 마곡중앙로 111 (마곡동, 롯데캐슬 르웨스트)",LEWEST B관,그 밖의 대규모점포,184504.7837,451283.5352,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 중앙로3길 50 (고척동, 고척산업용품종합상가)",고척산업용품상가,그 밖의 대규모점포,187619.597,444186.9231,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 구일로10길 93 (구로동),사모아종합상가,그 밖의 대규모점포,189052.1018,443748.2793,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 경인로 393-7 (고척동, 123전자타운)",일이삼전자타운,그 밖의 대규모점포,187826.6982,443925.5247,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 경인로53길 15 (구로동),중앙유통단지,그 밖의 대규모점포,188840.5159,444306.7711,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 (신도림동)",홈플러스(주) 신도림점,대형마트,190005.1325,445250.5389,생활/편의,대형마트
영업/정상,서울특별시 구로구 구로중앙로 198 (구로동),서울구로기계공구상가,그 밖의 대규모점포,189277.7617,444671.5517,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 구로중앙로 237 (구로동),라이프공구상가,그 밖의 대규모점포,188907.9661,444898.3676,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 경인로43길 42 (고척동, 고척산업용품상가)",고척산업용품상가,복합쇼핑몰,187619.597,444186.9231,생활/편의,복합쇼핑몰
영업/정상,서울특별시 구로구 고척로40길 19 (고척동),개봉프라자,시장,186769.6169,444433.2216,생활/편의,시장
영업/정상,서울특별시 구로구 중앙로 64 (고척동),고척스카이프라자,그 밖의 대규모점포,187798.8693,444629.7048,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 개봉로3길 51 (개봉동),개봉제일시장,그 밖의 대규모점포,186968.2885,442651.9078,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 새말로 97 (구로동,외 31필지)",(주) 이마트 신도림점,대형마트,190232.5245,444978.6827,생활/편의,대형마트
영업/정상,서울특별시 구로구 구로중앙로 134 (구로동),나인스에비뉴,그 밖의 대규모점포,189682.7994,444193.86,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 구일로10길 93 (구로동),사모아종합상가,그 밖의 대규모점포,189052.1018,443748.2793,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 구로구 새말로 97 (구로동,외 31필지)",신도림 테크노마트,그 밖의 대규모점포,190232.5245,444978.6827,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 디지털로32길 43 (구로동),(주)이마트 구로점,대형마트,190901.9779,442466.8134,생활/편의,대형마트
영업/정상,"서울특별시 구로구 경인로 319 (개봉동,외 1필지 대림프라자 101호)",홈플러스 익스프레스 개봉점,구분없음,187158.4438,443952.5619,생활/편의,슈퍼마켓
영업/정상,"서울특별시  구일로10길 27, B동 1층 (제118호,제119호,제121호~126호)",홈플러스 익스프레스 서울구로점,구분없음,188674.9951,443749.503,생활/편의,슈퍼마켓
영업/정상,서울특별시 구로구 개봉로17길 34 (개봉동),(주)이마트에브리데이 개봉동점,구분없음,187009.8043,443285.607,생활/편의,슈퍼마켓
영업/정상,"서울특별시 구로구 서해안로 2293 (오류동,외 2필지)",홈플러스 익스프레스 서울오류점,복합쇼핑몰,185756.1749,443268.099,생활/편의,복합쇼핑몰
영업/정상,서울특별시 구로구 중앙로3길 49 (고척동),동국종합상가,그 밖의 대규모점포,187718.8012,444056.9968,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 구로구 경인로54길 4 (구로동),공구상가일번지관리단,복합쇼핑몰,189134.1545,444274.7299,생활/편의,복합쇼핑몰
영업/정상,서울특별시 구로구 경인로 393-7 (고척동),일이삼전자타운,복합쇼핑몰,187826.6982,443925.5247,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 (독산동)",롯데캐슬 골드파크 4차 마르쉐도르 960,그 밖의 대규모점포,190799.833,439885.9413,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로47길 43 (시흥동),럭키남서울상가,그 밖의 대규모점포,191026.6372,438701.2056,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로 46 (시흥동),시흥중앙철재상가,그 밖의 대규모점포,191390.7851,437280.5742,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로 109 (시흥동),시흥산업용재유통센타,그 밖의 대규모점포,191384.6063,437986.9408,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 범안로 1209 (독산동),유창상가,그 밖의 대규모점포,190771.5956,440515.669,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로52길 70 (시흥동),대명합동시장,그 밖의 대규모점포,191241.0484,439137.9921,생활/편의,시장
영업/정상,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 (독산동)",홈플러스(주) 금천점,대형마트,190809.5078,440728.3823,생활/편의,대형마트
영업/정상,"서울특별시 금천구 시흥대로 201, 홈플러스테스테스코(주)시흥점 (시흥동)",홈플러스 주식회사,대형마트,191152.4326,438865.1607,생활/편의,대형마트
영업/정상,서울특별시 금천구 디지털로 185 (가산동),마리오아울렛 1관,쇼핑센터,189943.2343,441784.2475,생활/편의,쇼핑센터
영업/정상,"서울특별시 금천구 벚꽃로 30 (독산동, 금천롯데캐슬골드파크2차)",롯데캐슬 골드파크 2차 마르쉐도르,그 밖의 대규모점포,190567.4183,439569.4015,생활/편의,그 밖의 대규모점포
