카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,천왕_파출소,서울특별시 구로구 오리로 1102-8,37.48385444,126.8425643
안전,경찰서/파출소,반포_지구대,서울특별시 서초구 신반포로190,37.50596514,127.0051863
안전,경찰서/파출소,서초2_파출소,서울 서초구 서운로 38,37.48752062,127.0289822
안전,경찰서/파출소,서초3_파출소,서울 서초구 반포대로30길 40,37.49197502,127.0107936
안전,경찰서/파출소,양재_파출소,서울 서초구 남부순환로356길 9,37.48454577,127.0378555
안전,경찰서/파출소,서초_파출소,서울 서초구 효령로 297,37.48528606,127.0167379
안전,경찰서/파출소,우면_파출소,서울 서초구 양재대로2길 106,37.45610846,127.0160081
안전,경찰서/파출소,내곡_파출소,서울특별시 서초구 헌릉로 226,37.45498921,127.0648005
안전,경찰서/파출소,목1_지구대,서울특별시 양천구  목동동로 373,37.53515594,126.8784581
안전,경찰서/파출소,목2_지구대,서울특별시 양천구  등촌로 166,37.54452741,126.8623644
안전,경찰서/파출소,신정1_지구대,서울특별시 양천구  중앙로32길 65,37.52029971,126.8607681
안전,경찰서/파출소,신정2_지구대,서울특별시 양천구 목동로17길 5,37.52445246,126.8635758
안전,경찰서/파출소,신월2_지구대,서울특별시 양천구 지양로 55,37.520542,126.8343884
안전,경찰서/파출소,신월1_파출소,서울특별시 양천구  남부순환로59길 8 ,37.53205459,126.8322518
안전,경찰서/파출소,신정3_파출소,서울특별시 양천구  중앙로 205,37.51491917,126.8549857
안전,경찰서/파출소,신월5_파출소,서울특별시 양천구  남부순환로31길 37,37.53907383,126.8306735
안전,경찰서/파출소,방이_지구대,서울특별시 송파구  양재대로71길 5-6,37.51024991,127.1257464
안전,경찰서/파출소,잠실_지구대,서울특별시 송파구  올림픽로 101,37.51209885,127.0821403
안전,경찰서/파출소,삼전_지구대,서울특별시 송파구  백제고분로 238,37.50267459,127.0927489
안전,경찰서/파출소,가락_지구대,서울특별시 송파구  중대로 179,37.49818447,127.1253134
안전,경찰서/파출소,문정_지구대,서울특별시 송파구 충민로2길 18,37.47821868,127.1269259
안전,경찰서/파출소,마천_파출소,서울특별시 송파구  마천로 41길 8,37.49702675,127.1482101
안전,경찰서/파출소,거여_파출소,서울특별시 송파구 새말로15길 9,37.48515945,127.1297173
